"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2016 THROUGH SEPTEMBER 30, 2017 UNDER THE LTCH PPS
(as corrected in CMS-1655-CN issued October 2016)"						
828	Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC	0	1.1287	28.5	23.8	5.4
829	Myeloprolif disord or poorly diff neopl w other O.R. proc w CC/MCC	2	1.1287	28.5	23.8	17.4
830	Myeloprolif disord or poorly diff neopl w other O.R. proc w/o CC/MCC	0	1.1287	28.5	23.8	6.1
834	Acute leukemia w/o major O.R. procedure w MCC	4	0.8613	23.1	19.3	19.3
835	Acute leukemia w/o major O.R. procedure w CC	2	0.5008	16.2	13.5	12.4
836	Acute leukemia w/o major O.R. procedure w/o CC/MCC	0	0.5008	16.2	13.5	6.7
837	Chemo w acute leukemia as sdx or w high dose chemo agent w MCC	1	0.5008	16.2	13.5	13.5
838	Chemo w acute leukemia as sdx w CC or high dose chemo agent	0	0.5008	16.2	13.5	13.5
839	Chemo w acute leukemia as sdx w/o CC/MCC	0	0.5008	16.2	13.5	7.3
840	Lymphoma & non-acute leukemia w MCC	19	0.8613	23.1	19.3	17.3
841	Lymphoma & non-acute leukemia w CC	6	0.6798	20.5	17.1	9.9
842	Lymphoma & non-acute leukemia w/o CC/MCC	0	0.5008	16.2	13.5	6.1
843	Other myeloprolif dis or poorly diff neopl diag w MCC	2	0.8613	23.1	19.3	12.2
844	Other myeloprolif dis or poorly diff neopl diag w CC	0	0.6798	20.5	17.1	8.3
845	Other myeloprolif dis or poorly diff neopl diag w/o CC/MCC	0	0.5008	16.2	13.5	5.9
846	Chemotherapy w/o acute leukemia as secondary diagnosis w MCC	8	1.8964	40.0	33.3	12.5
847	Chemotherapy w/o acute leukemia as secondary diagnosis w CC	0	0.5008	16.2	13.5	5.9
848	Chemotherapy w/o acute leukemia as secondary diagnosis w/o CC/MCC	0	0.5008	16.2	13.5	5.1
849	Radiotherapy	9	1.8964	40.0	33.3	9.8
853	Infectious & parasitic diseases w O.R. procedure w MCC	998	1.842	37.2	31.0	22.0
854	Infectious & parasitic diseases w O.R. procedure w CC	22	0.8613	23.1	19.3	12.0
855	Infectious & parasitic diseases w O.R. procedure w/o CC/MCC	0	0.8613	23.1	19.3	7.1
856	Postoperative or post-traumatic infections w O.R. proc w MCC	174	1.5413	33.8	28.2	20.6
857	Postoperative or post-traumatic infections w O.R. proc w CC	32	1.0755	29.8	24.8	10.8
858	Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC	1	1.0755	29.8	24.8	7.5
862	Postoperative & post-traumatic infections w MCC	923	1.0677	25.4	21.2	10.9
863	Postoperative & post-traumatic infections w/o MCC	177	0.7106	22.0	18.3	6.9
864	Fever	4	1.1287	28.5	23.8	5.3
865	Viral illness w MCC	28	0.8009	20.5	17.1	8.2
866	Viral illness w/o MCC	4	0.8009	20.5	17.1	5.1
867	Other infectious & parasitic diseases diagnoses w MCC	252	1.165	24.5	20.4	14.7
868	Other infectious & parasitic diseases diagnoses w CC	17	0.6798	20.5	17.1	7.2
869	Other infectious & parasitic diseases diagnoses w/o CC/MCC	0	0.6798	20.5	17.1	4.7
870	Septicemia or severe sepsis w MV >96 hours	"1,733"	2.0267	30.6	25.5	21.6
871	Septicemia or severe sepsis w/o MV >96 hours w MCC	"4,739"	0.9009	22.8	19.0	10.4
872	Septicemia or severe sepsis w/o MV >96 hours w/o MCC	346	0.6389	20.1	16.8	6.9
876	O.R. procedure w principal diagnoses of mental illness	0	0.7881	22.9	19.1	19.1
880	Acute adjustment reaction & psychosocial dysfunction	0	0.4959	17.7	14.8	4.7
881	Depressive neuroses	0	0.6214	20.3	16.9	7.0
882	Neuroses except depressive	0	0.6214	20.3	16.9	7.1
883	Disorders of personality & impulse control	0	0.6214	20.3	16.9	11.9
884	Organic disturbances & intellectual disability	0	0.5152	24.5	20.4	9.0
885	Psychoses	0	0.4901	23.1	19.3	11.8
886	Behavioral & developmental disorders	0	0.4959	17.7	14.8	9.2
887	Other mental disorder diagnoses	0	0.4959	17.7	14.8	6.8
894	"Alcohol/drug abuse or dependence, left ama"	0	0.4959	17.7	14.8	4.5
895	Alcohol/drug abuse or dependence w rehabilitation therapy	0	0.467	25.4	21.2	20.0
896	Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC	0	0.7881	22.9	19.1	10.5
897	Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC	0	0.6214	20.3	16.9	6.2
901	Wound debridements for injuries w MCC	165	1.405	34.2	28.5	21.8
902	Wound debridements for injuries w CC	22	1.1287	28.5	23.8	11.3
903	Wound debridements for injuries w/o CC/MCC	0	0.6798	20.5	17.1	6.3
904	Skin grafts for injuries w CC/MCC	29	1.6767	39.5	32.9	16.8
905	Skin grafts for injuries w/o CC/MCC	0	0.6798	20.5	17.1	6.8
906	Hand procedures for injuries	1	1.8964	40.0	33.3	7.0
907	Other O.R. procedures for injuries w MCC	101	1.63	33.6	28.0	16.7
908	Other O.R. procedures for injuries w CC	15	1.1287	28.5	23.8	9.1
909	Other O.R. procedures for injuries w/o CC/MCC	1	0.8613	23.1	19.3	5.0
913	Traumatic injury w MCC	16	0.8613	23.1	19.3	7.5
914	Traumatic injury w/o MCC	5	0.8613	23.1	19.3	4.8
915	Allergic reactions w MCC	1	0.6798	20.5	17.1	8.1
916	Allergic reactions w/o MCC	0	0.6798	20.5	17.1	3.3
917	Poisoning & toxic effects of drugs w MCC	3	0.6798	20.5	17.1	7.7
918	Poisoning & toxic effects of drugs w/o MCC	1	0.6798	20.5	17.1	4.5
919	Complications of treatment w MCC	"1,138"	1.1916	27.8	23.2	9.8
920	Complications of treatment w CC	215	0.8144	23.0	19.2	6.3
921	Complications of treatment w/o CC/MCC	12	0.6798	20.5	17.1	4.2
922	"Other injury, poisoning & toxic effect diag w MCC"	6	0.6798	20.5	17.1	8.7
923	"Other injury, poisoning & toxic effect diag w/o MCC"	2	0.6798	20.5	17.1	5.3
927	Extensive burns or full thickness burns w MV >96 hrs w skin graft	0	1.8964	40.0	33.3	33.3
928	Full thickness burn w skin graft or inhal inj w CC/MCC	3	1.8964	40.0	33.3	24.4
929	Full thickness burn w skin graft or inhal inj w/o CC/MCC	0	1.8964	40.0	33.3	13.0
933	Extensive burns or full thickness burns w MV >96 hrs w/o skin graft	0	1.8964	40.0	33.3	7.9
934	Full thickness burn w/o skin grft or inhal inj	16	0.6798	20.5	17.1	10.1
935	Non-extensive burns	15	1.1287	28.5	23.8	8.5
939	O.R. proc w diagnoses of other contact w health services w MCC	121	1.3859	31.2	26.0	16.5
940	O.R. proc w diagnoses of other contact w health services w CC	29	0.9915	27.9	23.3	8.8
941	O.R. proc w diagnoses of other contact w health services w/o CC/MCC	3	0.8613	23.1	19.3	4.4
945	Rehabilitation w CC/MCC	0	0.8499	20.5	17.1	16.0
946	Rehabilitation w/o CC/MCC	0	0.5215	16.2	13.5	16.4
947	Signs & symptoms w MCC	12	0.8613	23.1	19.3	11.5
948	Signs & symptoms w/o MCC	15	0.5008	16.2	13.5	5.2
949	Aftercare w CC/MCC	"1,464"	0.7391	22.1	18.4	6.5
950	Aftercare w/o CC/MCC	30	0.398	14.4	12.0	4.1
951	Other factors influencing health status	25	1.6968	26.5	22.1	6.7
955	Craniotomy for multiple significant trauma	0	1.1287	28.5	23.8	19.2
956	"Limb reattachment, hip & femur proc for multiple significant trauma"	0	0.9145	24.2	20.2	11.7
957	Other O.R. procedures for multiple significant trauma w MCC	4	1.8964	40.0	33.3	24.1
958	Other O.R. procedures for multiple significant trauma w CC	0	1.1287	28.5	23.8	13.1
959	Other O.R. procedures for multiple significant trauma w/o CC/MCC	0	1.1287	28.5	23.8	7.8
963	Other multiple significant trauma w MCC	8	1.1287	28.5	23.8	13.2
964	Other multiple significant trauma w CC	3	1.1287	28.5	23.8	8.0
965	Other multiple significant trauma w/o CC/MCC	0	1.1287	28.5	23.8	5.5
969	HIV w extensive O.R. procedure w MCC	7	1.8964	40.0	33.3	25.2
970	HIV w extensive O.R. procedure w/o MCC	0	0.8613	23.1	19.3	12.6
974	HIV w major related condition w MCC	122	1.0341	22.7	18.9	15.1
975	HIV w major related condition w CC	7	0.8613	23.1	19.3	9.0
976	HIV w major related condition w/o CC/MCC	0	0.8613	23.1	19.3	6.2
977	HIV w or w/o other related condition	5	0.8613	23.1	19.3	7.9
981	Extensive O.R. procedure unrelated to principal diagnosis w MCC	"1,035"	2.3264	40.9	34.1	20.6
982	Extensive O.R. procedure unrelated to principal diagnosis w CC	53	1.31	32.6	27.2	11.4
983	Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC	0	0.8613	23.1	19.3	5.7
984	Prostatic O.R. procedure unrelated to principal diagnosis w MCC	9	1.8964	40.0	33.3	19.8
985	Prostatic O.R. procedure unrelated to principal diagnosis w CC	1	0.6798	20.5	17.1	10.6
986	Prostatic O.R. procedure unrelated to principal diagnosis w/o CC/MCC	0	0.6798	20.5	17.1	4.7
987	Non-extensive O.R. proc unrelated to principal diagnosis w MCC	312	1.8675	36.8	30.7	18.1
988	Non-extensive O.R. proc unrelated to principal diagnosis w CC	29	1.3931	32.2	26.8	10.1
989	Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC	1	1.3931	32.2	26.8	4.7
998	Principal diagnosis invalid as discharge diagnosis	0	0	0.0	0.0	0.0
999	Ungroupable	0	0.0000	0.0	0.0	0.0
1 The count of LTCH 'standard payment rate' cases (with a LOS and charges > 0 and not in MS-LTC- DRGs 998 or 999) in the database of LTCH claims from the March 2016 update of the FY 2015 MedPAR files.  These case counts are prior to removing statistical outliers and cases with a LOS <=7 days.						
2 The SSO threshold is calculated as 5/6th of the geometric average length of stay of the MS-LTC-DRG (as specified in §412.529(a)).						
"3 The “IPPS Comparable Threshold” is calculated as one standard deviation from the geometric ALOS of the same MS-DRG under the IPPS (as specified in §412.529(c)(3)(i) ), which is used in determining the payment amount for SSO cases under §412.529(c)(3)."						
"* In determining the MS-LTC-DRG relative weights for FY 2017, these MS-LTC-DRGs were adjusted for nonmonotonicity as discussed in section VII.C.3.g. (step 6) of the preamble of the FY 2017 IPPS/LTCH PPS final rule."						
						
						
						
						
						
						
