"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY                               OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM                             OCTOBER 1, 2015 THROUGH SEPTEMBER 30, 2016 UNDER THE LTCH PPS - CORRECTED"						
MS-LTC-DRG	MS-LTC-DRG Title	FY 2014 LTCH Cases1	 Relative Weight	Geometric Average Length of Stay	 Short-Stay Outlier (SSO) Threshold2	IPPS Comparable Threshold3
823	Lymphoma & non-acute leukemia w other O.R. proc w MCC	2	1.6769	34.8	29.0	23.0
824	Lymphoma & non-acute leukemia w other O.R. proc w CC	0	1.1274	26.4	22.0	12.9
825	Lymphoma & non-acute leukemia w other O.R. proc w/o CC/MCC	0	1.1274	26.4	22.0	6.2
826	Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC	0	1.6769	34.8	29.0	22.9
827	Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC	0	1.1274	26.4	22.0	10.5
828	Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC	0	1.1274	26.4	22.0	5.5
829	Myeloprolif disord or poorly diff neopl w other O.R. proc w CC/MCC	1	0.8393	22.5	18.8	16.8
830	Myeloprolif disord or poorly diff neopl w other O.R. proc w/o CC/MCC	0	0.8393	22.5	18.8	5.5
834	Acute leukemia w/o major O.R. procedure w MCC	7	0.8393	22.5	18.8	18.8
835	Acute leukemia w/o major O.R. procedure w CC	0	0.8393	22.5	18.8	12.4
836	Acute leukemia w/o major O.R. procedure w/o CC/MCC	0	0.8393	22.5	18.8	6.3
837	Chemo w acute leukemia as sdx or w high dose chemo agent w MCC	0	1.1287	23.8	19.8	19.8
838	Chemo w acute leukemia as sdx w CC or high dose chemo agent	0	0.8393	22.5	18.8	14.9
839	Chemo w acute leukemia as sdx w/o CC/MCC	0	0.8393	22.5	18.8	7.6
840	Lymphoma & non-acute leukemia w MCC	27	1.1287	23.8	19.8	17.2
841	Lymphoma & non-acute leukemia w CC	3	0.8393	22.5	18.8	9.9
842	Lymphoma & non-acute leukemia w/o CC/MCC*	1	0.8393	22.5	18.8	6.4
843	Other myeloprolif dis or poorly diff neopl diag w MCC	5	1.1274	26.4	22.0	12.5
844	Other myeloprolif dis or poorly diff neopl diag w CC	0	0.8393	22.5	18.8	8.1
845	Other myeloprolif dis or poorly diff neopl diag w/o CC/MCC	0	0.8393	22.5	18.8	5.6
846	Chemotherapy w/o acute leukemia as secondary diagnosis w MCC	4	1.6769	34.8	29.0	12.4
847	Chemotherapy w/o acute leukemia as secondary diagnosis w CC	2	1.6769	34.8	29.0	5.8
848	Chemotherapy w/o acute leukemia as secondary diagnosis w/o CC/MCC	0	1.6769	34.8	29.0	5.1
849	Radiotherapy	4	0.8393	22.5	18.8	10.2
853	Infectious & parasitic diseases w O.R. procedure w MCC	962	1.8828	37.9	31.6	22.3
854	Infectious & parasitic diseases w O.R. procedure w CC	27	0.8724	28.2	23.5	12.3
855	Infectious & parasitic diseases w O.R. procedure w/o CC/MCC	0	0.6711	19.8	16.5	7.5
856	Postoperative or post-traumatic infections w O.R. proc w MCC	214	1.5145	33.2	27.7	20.7
857	Postoperative or post-traumatic infections w O.R. proc w CC	40	0.9466	27.7	23.1	10.8
858	Postoperative or post-traumatic infections w O.R. proc w/o CC/MCC	2	0.6711	19.8	16.5	7.0
862	Postoperative & post-traumatic infections w MCC	"1,028"	1.0580	25.4	21.2	11.3
863	Postoperative & post-traumatic infections w/o MCC	190	0.7502	23.6	19.7	7.0
864	Fever	4	0.8393	22.5	18.8	5.4
865	Viral illness w MCC	17	1.1274	26.4	22.0	9.3
866	Viral illness w/o MCC	3	0.5268	17.5	14.6	5.2
867	Other infectious & parasitic diseases diagnoses w MCC	231	1.1322	24.2	20.2	14.7
868	Other infectious & parasitic diseases diagnoses w CC	14	0.6711	19.8	16.5	7.3
869	Other infectious & parasitic diseases diagnoses w/o CC/MCC	1	0.5268	17.5	14.6	5.2
870	Septicemia or severe sepsis w MV 96+ hours	"1,806"	1.9865	30.7	25.6	21.5
871	Septicemia or severe sepsis w/o MV 96+ hours w MCC	"4,603"	0.8827	23.0	19.2	10.6
872	Septicemia or severe sepsis w/o MV 96+ hours w/o MCC	352	0.5924	19.2	16.0	7.1
876	O.R. procedure w principal diagnoses of mental illness	0	0.7881	22.9	19.1	19.1
880	Acute adjustment reaction & psychosocial dysfunction	0	0.4959	17.7	14.8	5.0
881	Depressive neuroses	0	0.6214	20.3	16.9	7.2
882	Neuroses except depressive	0	0.6214	20.3	16.9	7.0
883	Disorders of personality & impulse control	0	0.6214	20.3	16.9	12.4
884	Organic disturbances & mental retardation	0	0.5152	24.5	20.4	9.6
885	Psychoses	0	0.4901	23.1	19.3	12.3
886	Behavioral & developmental disorders	0	0.4959	17.7	14.8	9.4
887	Other mental disorder diagnoses	0	0.4959	17.7	14.8	7.0
894	"Alcohol/drug abuse or dependence, left ama"	0	0.4959	17.7	14.8	4.6
895	Alcohol/drug abuse or dependence w rehabilitation therapy	0	0.4670	25.4	21.2	19.4
896	Alcohol/drug abuse or dependence w/o rehabilitation therapy w MCC	0	0.7881	22.9	19.1	10.6
897	Alcohol/drug abuse or dependence w/o rehabilitation therapy w/o MCC	0	0.6214	20.3	16.9	6.3
901	Wound debridements for injuries w MCC	186	1.4754	34.1	28.4	21.7
902	Wound debridements for injuries w CC	30	1.0053	29.7	24.8	11.4
903	Wound debridements for injuries w/o CC/MCC	0	0.6711	19.8	16.5	6.8
904	Skin grafts for injuries w CC/MCC	28	1.4804	38.3	31.9	16.7
905	Skin grafts for injuries w/o CC/MCC	0	0.6711	19.8	16.5	7.7
906	Hand procedures for injuries	0	0.6711	19.8	16.5	6.5
907	Other O.R. procedures for injuries w MCC	107	1.6555	35.5	29.6	16.9
908	Other O.R. procedures for injuries w CC	9	1.1274	26.4	22.0	9.1
909	Other O.R. procedures for injuries w/o CC/MCC	0	0.5268	17.5	14.6	5.2
913	Traumatic injury w MCC	12	0.6711	19.8	16.5	8.1
914	Traumatic injury w/o MCC	8	0.5268	17.5	14.6	4.8
915	Allergic reactions w MCC	1	0.5268	17.5	14.6	8.1
916	Allergic reactions w/o MCC	0	0.5268	17.5	14.6	3.2
917	Poisoning & toxic effects of drugs w MCC	5	1.6769	34.8	29.0	7.5
918	Poisoning & toxic effects of drugs w/o MCC	3	0.5268	17.5	14.6	4.4
919	Complications of treatment w MCC	"1,125"	1.1763	27.4	22.8	9.9
920	Complications of treatment w CC	255	0.7692	22.8	19.0	6.1
921	Complications of treatment w/o CC/MCC	10	0.6711	19.8	16.5	4.3
922	"Other injury, poisoning & toxic effect diag w MCC"	1	0.8393	22.5	18.8	9.3
923	"Other injury, poisoning & toxic effect diag w/o MCC"	3	0.6711	19.8	16.5	5.2
927	Extensive burns or full thickness burns w MV 96+ hrs w skin graft	0	0.8393	22.5	18.8	18.8
928	Full thickness burn w skin graft or inhal inj w CC/MCC	2	0.8393	22.5	18.8	18.8
929	Full thickness burn w skin graft or inhal inj w/o CC/MCC	0	0.8393	22.5	18.8	12.6
933	Extensive burns or full thickness burns w MV 96+ hrs w/o skin graft	4	0.6711	19.8	16.5	7.9
934	Full thickness burn w/o skin grft or inhal inj	10	0.6711	19.8	16.5	10.1
935	Non-extensive burns	13	0.6711	19.8	16.5	8.0
939	O.R. proc w diagnoses of other contact w health services w MCC	136	1.4147	32.8	27.3	15.5
940	O.R. proc w diagnoses of other contact w health services w CC	30	0.9506	27.8	23.2	8.5
941	O.R. proc w diagnoses of other contact w health services w/o CC/MCC	1	0.6711	19.8	16.5	4.2
945	Rehabilitation w CC/MCC	0	0.8499	20.5	17.1	17.1
946	Rehabilitation w/o CC/MCC	0	0.5215	16.2	13.5	11.6
947	Signs & symptoms w MCC	22	0.8393	22.5	18.8	7.4
948	Signs & symptoms w/o MCC	5	0.5268	17.5	14.6	5.1
949	Aftercare w CC/MCC	"1,586"	0.7394	21.5	17.9	7.7
950	Aftercare w/o CC/MCC	37	0.4236	16.4	13.7	4.5
951	Other factors influencing health status	22	1.1274	26.4	22.0	7.5
955	Craniotomy for multiple significant trauma	0	1.6769	34.8	29.0	20.8
956	"Limb reattachment, hip & femur proc for multiple significant trauma"	0	0.9416	24.3	20.3	11.6
957	Other O.R. procedures for multiple significant trauma w MCC	2	1.6769	34.8	29.0	23.9
958	Other O.R. procedures for multiple significant trauma w CC	0	0.8393	22.5	18.8	13.2
959	Other O.R. procedures for multiple significant trauma w/o CC/MCC	0	0.8393	22.5	18.8	7.3
963	Other multiple significant trauma w MCC	6	1.6769	34.8	29.0	13.7
964	Other multiple significant trauma w CC	6	0.8393	22.5	18.8	7.8
965	Other multiple significant trauma w/o CC/MCC	0	0.8393	22.5	18.8	5.3
969	HIV w extensive O.R. procedure w MCC	13	1.6769	34.8	29.0	24.6
970	HIV w extensive O.R. procedure w/o MCC	1	0.6711	19.8	16.5	11.4
974	HIV w major related condition w MCC	107	1.1932	23.4	19.5	15.0
975	HIV w major related condition w CC	10	0.8393	22.5	18.8	9.4
976	HIV w major related condition w/o CC/MCC	0	0.6711	19.8	16.5	6.4
977	HIV w or w/o other related condition	10	0.5268	17.5	14.6	7.4
981	Extensive O.R. procedure unrelated to principal diagnosis w MCC	"1,023"	2.2923	40.2	33.5	20.3
982	Extensive O.R. procedure unrelated to principal diagnosis w CC	64	1.2967	28.4	23.7	11.6
983	Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC	2	0.6711	19.8	16.5	5.7
984	Prostatic O.R. procedure unrelated to principal diagnosis w MCC	6	1.6769	34.8	29.0	20.6
985	Prostatic O.R. procedure unrelated to principal diagnosis w CC	3	1.6769	34.8	29.0	11.2
986	Prostatic O.R. procedure unrelated to principal diagnosis w/o CC/MCC	0	0.6711	19.8	16.5	5.4
987	Non-extensive O.R. proc unrelated to principal diagnosis w MCC	317	1.9022	37.0	30.8	17.3
988	Non-extensive O.R. proc unrelated to principal diagnosis w CC	36	1.1894	30.0	25.0	10.1
989	Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC	1	0.6711	19.8	16.5	4.7
998	Principal diagnosis invalid as discharge diagnosis	0	0.0000	0.0	0.0	0.0
999	Ungroupable	0	0.0000	0.0	0.0	0.0
						
						
						
						
						
