"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2021 THROUGH SEPTEMBER 30, 2022 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2019 LTCH Cases1	Relative Weight	Geometric Average Length of Stay	Short-Stay Outlier (SSO) Threshold2
904	Skin grafts for injuries with CC/MCC	19	1.7482	36.8	30.7
905	Skin grafts for injuries without CC/MCC	1	0.6374	19.3	16.1
906	Hand procedures for injuries	2	0.5193	16.9	14.1
907	Other O.R. procedures for injuries with MCC	65	1.511	33.2	27.7
908	Other O.R. procedures for injuries with CC	5	0.8548	23.6	19.7
909	Other O.R. procedures for injuries without CC/MCC	0	0.8548	23.6	19.7
913	Traumatic injury with MCC	7	0.8548	23.6	19.7
914	Traumatic injury without MCC	0	0.8548	23.6	19.7
915	Allergic reactions with MCC	0	1.0152	25.2	21.0
916	Allergic reactions without MCC	0	1.0152	25.2	21.0
917	Poisoning and toxic effects of drugs with MCC	4	1.0152	25.2	21.0
918	Poisoning and toxic effects of drugs without MCC	0	1.0152	25.2	21.0
919	Complications of treatment with MCC	780	1.1632	28.1	23.4
920	Complications of treatment with CC	188	0.8414	23.9	19.9
921	Complications of treatment without CC/MCC	8	0.6374	19.3	16.1
922	"Other injury, poisoning and toxic effect diagnoses with MCC"	13	0.8548	23.6	19.7
923	"Other injury, poisoning and toxic effect diagnoses without MCC"	4	0.8548	23.6	19.7
927	Extensive burns or full thickness burns with MV >96 hours with skin graft	0	1.7482	36.8	30.7
928	Full thickness burn with skin graft or inhalation injury with CC/MCC	2	1.7482	36.8	30.7
929	Full thickness burn with skin graft or inhalation injury without CC/MCC	0	1.7482	36.8	30.7
933	Extensive burns or full thickness burns with MV >96 hours without skin graft	14	0.8548	23.6	19.7
934	Full thickness burn without skin graft or inhalation injury	10	0.6374	19.3	16.1
935	Non-extensive burns	9	0.8548	23.6	19.7
939	O.R. procedures with diagnoses of other contact with health services with MCC	96	1.3009	32.8	27.3
940	O.R. procedures with diagnoses of other contact with health services with CC	32	0.9483	29.3	24.4
941	O.R. procedures with diagnoses of other contact with health services without CC/MCC	0	0.9483	29.3	24.4
945	Rehabilitation with CC/MCC	0	0.6621	20.5	17.1
946	Rehabilitation without CC/MCC	0	0.4063	16.3	13.6
947	Signs and symptoms with MCC	35	0.7768	20.1	16.8
948	Signs and symptoms without MCC	13	0.6374	19.3	16.1
949	Aftercare with CC/MCC	"1,468"	0.7558	21.7	18.1
950	Aftercare without CC/MCC	35	0.42	15.1	12.6
951	Other factors influencing health status	0	0.42	15.1	12.6
955	Craniotomy for multiple significant trauma	0	1.0152	25.2	21.0
956	"Limb reattachment, hip and femur procedures for multiple significant trauma"	0	1.0152	25.2	21.0
957	Other O.R. procedures for multiple significant trauma with MCC	2	1.0152	25.2	21.0
958	Other O.R. procedures for multiple significant trauma with CC	0	1.0152	25.2	21.0
959	Other O.R. procedures for multiple significant trauma without CC/MCC	0	1.0152	25.2	21.0
963	Other multiple significant trauma with MCC	7	1.0152	25.2	21.0
964	Other multiple significant trauma with CC	1	0.5193	16.9	14.1
965	Other multiple significant trauma without CC/MCC	0	0.5193	16.9	14.1
969	HIV with extensive O.R. procedures with MCC	10	1.7482	36.8	30.7
970	HIV with extensive O.R. procedures without MCC	0	1.7482	36.8	30.7
974	HIV with major related condition with MCC	85	1.1967	23.4	19.5
975	HIV with major related condition with CC	10	1.0152	25.2	21.0
976	HIV with major related condition without CC/MCC	0	1.0152	25.2	21.0
977	HIV with or without other related condition	7	1.0152	25.2	21.0
981	Extensive O.R. procedures unrelated to principal diagnosis with MCC	"1,194"	2.2735	40.5	33.8
982	Extensive O.R. procedures unrelated to principal diagnosis with CC	90	1.2942	30.8	25.7
983	Extensive O.R. procedures unrelated to principal diagnosis without CC/MCC*	1	1.2942	30.8	25.7
987	Non-extensive O.R. procedures unrelated to principal diagnosis with MCC	141	1.8505	36.8	30.7
988	Non-extensive O.R. procedures unrelated to principal diagnosis with CC	23	1.7482	36.8	30.7
989	Non-extensive O.R. procedures unrelated to principal diagnosis without CC/MCC	2	0.6374	19.3	16.1
998	Principal diagnosis invalid as discharge diagnosis	0	0.0000	0.0	0.0
999	Ungroupable	0	0.0000	0.0	0.0
"* In determining the MS-LTC-DRG relative weights for FY 2022, these MS-LTC-DRGs were adjusted for nonmonotonicity as discussed in section VIII.B.3.g. (step 6) of the preamble of this FY 2022 IPPS/LTCH PPS final rule."					
"1 The count of LTCH ""standard payment rate"" cases in the database of LTCH claims from the March 2020 update of the FY 2019 MedPAR files used in the MS-LTC-DRG calculations."					
2 The SSO threshold is calculated as 5/6th of the geometric average length of stay of the MS-LTC-DRG (as specified in §412.529(a)).					
