"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2022 THROUGH SEPTEMBER 30, 2023 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2021 LTCH Cases1	Relative Weight2	Geometric Average Length of Stay2	Short-Stay Outlier (SSO) Threshold3
897	"Alcohol, drug abuse or dependence without rehabilitation therapy without MCC"	0	0.6214	20.3	16.9
901	Wound debridements for injuries with MCC+	119	1.3408	32.4	27.0
902	Wound debridements for injuries with CC+	17	1.3294	31.9	26.6
903	Wound debridements for injuries without CC/MCC	1	0.7813	21.1	17.6
904	Skin grafts for injuries with CC/MCC	18	1.0424	26.9	22.4
905	Skin grafts for injuries without CC/MCC	0	0.7813	21.1	17.6
906	Hand procedures for injuries	1	1.0424	26.9	22.4
907	Other O.R. procedures for injuries with MCC	46	1.3582	33.2	27.7
908	Other O.R. procedures for injuries with CC	8	0.7813	21.1	17.6
909	Other O.R. procedures for injuries without CC/MCC	0	0.7813	21.1	17.6
913	Traumatic injury with MCC	0	0.6366	19.3	16.1
914	Traumatic injury without MCC	2	0.6366	19.3	16.1
915	Allergic reactions with MCC	0	0.7813	21.1	17.6
916	Allergic reactions without MCC	0	0.7813	21.1	17.6
917	Poisoning and toxic effects of drugs with MCC	5	0.7813	21.1	17.6
918	Poisoning and toxic effects of drugs without MCC	0	0.7813	21.1	17.6
919	Complications of treatment with MCC	507	1.1214	27.7	23.1
920	Complications of treatment with CC	103	0.7563	22.2	18.5
921	Complications of treatment without CC/MCC	4	0.6366	19.3	16.1
922	"Other injury, poisoning and toxic effect diagnoses with MCC*+"	1	0.6366	19.3	16.1
923	"Other injury, poisoning and toxic effect diagnoses without MCC*+"	2	0.6366	19.3	16.1
927	Extensive burns or full thickness burns with MV >96 hours with skin graft	1	1.3482	31.9	26.6
928	Full thickness burn with skin graft or inhalation injury with CC/MCC	5	1.0424	26.9	22.4
929	Full thickness burn with skin graft or inhalation injury without CC/MCC	0	1.0424	26.9	22.4
933	Extensive burns or full thickness burns with MV >96 hours without skin graft	3	1.0424	26.9	22.4
934	Full thickness burn without skin graft or inhalation injury	7	0.6366	19.3	16.1
935	Non-extensive burns	7	0.8410	23.1	19.3
939	O.R. procedures with diagnoses of other contact with health services with MCC	66	1.3615	29.4	24.5
940	O.R. procedures with diagnoses of other contact with health services with CC	22	1.0424	26.9	22.4
941	O.R. procedures with diagnoses of other contact with health services without CC/MCC	0	1.0424	26.9	22.4
945	Rehabilitation with CC/MCC	0	0.6621	20.5	17.1
946	Rehabilitation without CC/MCC	0	0.4063	16.3	13.6
947	Signs and symptoms with MCC	33	0.7015	19.8	16.5
948	Signs and symptoms without MCC	19	0.6366	19.3	16.1
949	Aftercare with CC/MCC	884	0.7167	21.2	17.7
950	Aftercare without CC/MCC	14	0.4651	15.7	13.1
951	Other factors influencing health status	2	0.6366	19.3	16.1
955	Craniotomy for multiple significant trauma	0	1.0424	26.9	22.4
956	"Limb reattachment, hip and femur procedures for multiple significant trauma"	0	1.0424	26.9	22.4
957	Other O.R. procedures for multiple significant trauma with MCC	1	1.0424	26.9	22.4
958	Other O.R. procedures for multiple significant trauma with CC	1	0.7813	21.1	17.6
959	Other O.R. procedures for multiple significant trauma without CC/MCC	0	0.7813	21.1	17.6
963	Other multiple significant trauma with MCC	3	1.0424	26.9	22.4
964	Other multiple significant trauma with CC	0	1.0424	26.9	22.4
965	Other multiple significant trauma without CC/MCC	0	1.0424	26.9	22.4
969	HIV with extensive O.R. procedures with MCC	4	1.3482	31.9	26.6
970	HIV with extensive O.R. procedures without MCC	0	1.3482	31.9	26.6
974	HIV with major related condition with MCC	51	1.4168	26.4	22.0
975	HIV with major related condition with CC*+	1	1.3482	31.9	26.6
976	HIV with major related condition without CC/MCC	1	1.3482	31.9	26.6
977	HIV with or without other related condition	3	0.7813	21.1	17.6
981	Extensive O.R. procedures unrelated to principal diagnosis with MCC	"1,253"	2.3910	42.1	35.1
982	Extensive O.R. procedures unrelated to principal diagnosis with CC	52	1.2237	31.0	25.8
983	Extensive O.R. procedures unrelated to principal diagnosis without CC/MCC	1	0.6366	19.3	16.1
987	Non-extensive O.R. procedures unrelated to principal diagnosis with MCC	111	2.1842	39.5	32.9
988	Non-extensive O.R. procedures unrelated to principal diagnosis with CC	5	0.6366	19.3	16.1
989	Non-extensive O.R. procedures unrelated to principal diagnosis without CC/MCC	0	0.6366	19.3	16.1
998	Principal diagnosis invalid as discharge diagnosis	0	0.0000	0.0	0.0
999	Ungroupable	0	0.0000	0.0	0.0
"1 The count of LTCH ""standard payment rate"" cases (including COVID-19 cases) in the database of LTCH claims from the March 2022 update of the FY 2021 MedPAR files used in the MS-LTC-DRG calculations."					
"2 As discussed in section VIII.B. of the preamble of the FY 2023 final rule, the MS-LTC-DRG relative weights were determined for FY 2023 as an average of the relative weights calculated both including and excluding the COVID-19 claims.   In addition, the geometric average length of stays were also determined for FY 2023 as an average of the geometric average length of stays calculated both including and excluding the COVID-19 claims. Also, as discussed in section VIII.B. of the FY 2023 final rule, for MS-LTC-DRGs with 25 or more applicable LTCH cases in the March 2022 update of the FY 2021 MedPAR file, we applied a 10-percent cap on the reduction in the MS-LTC-DRG’s relative weight compared to its FY 2022 relative weight."					
3 The SSO threshold is calculated as 5/6th of the geometric average length of stay of the MS-LTC-DRG (as specified in §412.529(a)).					
"* When determining the relative weights based on claims data that include COVID-19 cases, these MS-LTC-DRGs were adjusted for nonmonotonicity as discussed in section VIII.B.4.b. (step 7) of the preamble of this FY 2023 IPPS/LTCH PPS final rule."					
"+ When determining the relative weights based on claims data that exclude COVID-19 cases, these MS-LTC-DRGs were adjusted for nonmonotonicity as discussed in section VIII.B.4.b. (step 7) of the preamble of this FY 2023 IPPS/LTCH PPS final rule."					
